34.17	32.13	30.6	30.09	30.09	30.6	37.74	43.86	48.45	48.96	48.96	48.45	48.45	48.45	47.43	47.94	50.49	51	51	48.96	46.41	42.33	37.23	32.13
13.4	12.6	12	11.8	11.8	12	14.8	17.2	19	19.2	19.2	19	19	19	18.6	18.8	19.8	20	20	19.2	18.2	16.6	14.6	12.6
26.13	24.57	23.4	23.01	23.01	23.4	28.86	33.54	37.05	37.44	37.44	37.05	37.05	37.05	36.27	36.66	38.61	39	39	37.44	35.49	32.37	28.47	24.57
26.13	24.57	23.4	23.01	23.01	23.4	28.86	33.54	37.05	37.44	37.44	37.05	37.05	37.05	36.27	36.66	38.61	39	39	37.44	35.49	32.37	28.47	24.57
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34.84	32.76	31.2	30.68	30.68	31.2	38.48	44.72	49.4	49.92	49.92	49.4	49.4	49.4	48.36	48.88	51.48	52	52	49.92	47.32	43.16	37.96	32.76
12.73	11.97	11.4	11.21	11.21	11.4	14.06	16.34	18.05	18.24	18.24	18.05	18.05	18.05	17.67	17.86	18.81	19	19	18.24	17.29	15.77	13.87	11.97
18.76	17.64	16.8	16.52	16.52	16.8	20.72	24.08	26.6	26.88	26.88	26.6	26.6	26.6	26.04	26.32	27.72	28	28	26.88	25.48	23.24	20.44	17.64
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46.9	44.1	42	41.3	41.3	42	51.8	60.2	66.5	67.2	67.2	66.5	66.5	66.5	65.1	65.8	69.3	70	70	67.2	63.7	58.1	51.1	44.1
31.49	29.61	28.2	27.73	27.73	28.2	34.78	40.42	44.65	45.12	45.12	44.65	44.65	44.65	43.71	44.18	46.53	47	47	45.12	42.77	39.01	34.31	29.61
22.78	21.42	20.4	20.06	20.06	20.4	25.16	29.24	32.3	32.64	32.64	32.3	32.3	32.3	31.62	31.96	33.66	34	34	32.64	30.94	28.22	24.82	21.42
9.38	8.82	8.4	8.26	8.26	8.4	10.36	12.04	13.3	13.44	13.44	13.3	13.3	13.3	13.02	13.16	13.86	14	14	13.44	12.74	11.62	10.22	8.82
60.3	56.7	54	53.1	53.1	54	66.6	77.4	85.5	86.4	86.4	85.5	85.5	85.5	83.7	84.6	89.1	90	90	86.4	81.9	74.7	65.7	56.7
16.75	15.75	15	14.75	14.75	15	18.5	21.5	23.75	24	24	23.75	23.75	23.75	23.25	23.5	24.75	25	25	24	22.75	20.75	18.25	15.75
7.37	6.93	6.6	6.49	6.49	6.6	8.14	9.46	10.45	10.56	10.56	10.45	10.45	10.45	10.23	10.34	10.89	11	11	10.56	10.01	9.13	8.03	6.93
40.2	37.8	36	35.4	35.4	36	44.4	51.6	57	57.6	57.6	57	57	57	55.8	56.4	59.4	60	60	57.6	54.6	49.8	43.8	37.8
30.15	28.35	27	26.55	26.55	27	33.3	38.7	42.75	43.2	43.2	42.75	42.75	42.75	41.85	42.3	44.55	45	45	43.2	40.95	37.35	32.85	28.35
12.06	11.34	10.8	10.62	10.62	10.8	13.32	15.48	17.1	17.28	17.28	17.1	17.1	17.1	16.74	16.92	17.82	18	18	17.28	16.38	14.94	13.14	11.34
9.38	8.82	8.4	8.26	8.26	8.4	10.36	12.04	13.3	13.44	13.44	13.3	13.3	13.3	13.02	13.16	13.86	14	14	13.44	12.74	11.62	10.22	8.82
6.7	6.3	6	5.9	5.9	6	7.4	8.6	9.5	9.6	9.6	9.5	9.5	9.5	9.3	9.4	9.9	10	10	9.6	9.1	8.3	7.3	6.3
4.69	4.41	4.2	4.13	4.13	4.2	5.18	6.02	6.65	6.72	6.72	6.65	6.65	6.65	6.51	6.58	6.93	7	7	6.72	6.37	5.81	5.11	4.41
8.71	8.19	7.8	7.67	7.67	7.8	9.62	11.18	12.35	12.48	12.48	12.35	12.35	12.35	12.09	12.22	12.87	13	13	12.48	11.83	10.79	9.49	8.19
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47.57	44.73	42.6	41.89	41.89	42.6	52.54	61.06	67.45	68.16	68.16	67.45	67.45	67.45	66.03	66.74	70.29	71	71	68.16	64.61	58.93	51.83	44.73
11.39	10.71	10.2	10.03	10.03	10.2	12.58	14.62	16.15	16.32	16.32	16.15	16.15	16.15	15.81	15.98	16.83	17	17	16.32	15.47	14.11	12.41	10.71
16.08	15.12	14.4	14.16	14.16	14.4	17.76	20.64	22.8	23.04	23.04	22.8	22.8	22.8	22.32	22.56	23.76	24	24	23.04	21.84	19.92	17.52	15.12
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28.81	27.09	25.8	25.37	25.37	25.8	31.82	36.98	40.85	41.28	41.28	40.85	40.85	40.85	39.99	40.42	42.57	43	43	41.28	39.13	35.69	31.39	27.09
39.53	37.17	35.4	34.81	34.81	35.4	43.66	50.74	56.05	56.64	56.64	56.05	56.05	56.05	54.87	55.46	58.41	59	59	56.64	53.69	48.97	43.07	37.17
15.41	14.49	13.8	13.57	13.57	13.8	17.02	19.78	21.85	22.08	22.08	21.85	21.85	21.85	21.39	21.62	22.77	23	23	22.08	20.93	19.09	16.79	14.49
39.53	37.17	35.4	34.81	34.81	35.4	43.66	50.74	56.05	56.64	56.64	56.05	56.05	56.05	54.87	55.46	58.41	59	59	56.64	53.69	48.97	43.07	37.17
22.11	20.79	19.8	19.47	19.47	19.8	24.42	28.38	31.35	31.68	31.68	31.35	31.35	31.35	30.69	31.02	32.67	33	33	31.68	30.03	27.39	24.09	20.79
20.77	19.53	18.6	18.29	18.29	18.6	22.94	26.66	29.45	29.76	29.76	29.45	29.45	29.45	28.83	29.14	30.69	31	31	29.76	28.21	25.73	22.63	19.53
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18.09	17.01	16.2	15.93	15.93	16.2	19.98	23.22	25.65	25.92	25.92	25.65	25.65	25.65	25.11	25.38	26.73	27	27	25.92	24.57	22.41	19.71	17.01
44.22	41.58	39.6	38.94	38.94	39.6	48.84	56.76	62.7	63.36	63.36	62.7	62.7	62.7	61.38	62.04	65.34	66	66	63.36	60.06	54.78	48.18	41.58
24.79	23.31	22.2	21.83	21.83	22.2	27.38	31.82	35.15	35.52	35.52	35.15	35.15	35.15	34.41	34.78	36.63	37	37	35.52	33.67	30.71	27.01	23.31
64.32	60.48	57.6	56.64	56.64	57.6	71.04	82.56	91.2	92.16	92.16	91.2	91.2	91.2	89.28	90.24	95.04	96	96	92.16	87.36	79.68	70.08	60.48
12.06	11.34	10.8	10.62	10.62	10.8	13.32	15.48	17.1	17.28	17.28	17.1	17.1	17.1	16.74	16.92	17.82	18	18	17.28	16.38	14.94	13.14	11.34
10.72	10.08	9.6	9.44	9.44	9.6	11.84	13.76	15.2	15.36	15.36	15.2	15.2	15.2	14.88	15.04	15.84	16	16	15.36	14.56	13.28	11.68	10.08
35.51	33.39	31.8	31.27	31.27	31.8	39.22	45.58	50.35	50.88	50.88	50.35	50.35	50.35	49.29	49.82	52.47	53	53	50.88	48.23	43.99	38.69	33.39
18.76	17.64	16.8	16.52	16.52	16.8	20.72	24.08	26.6	26.88	26.88	26.6	26.6	26.6	26.04	26.32	27.72	28	28	26.88	25.48	23.24	20.44	17.64
22.78	21.42	20.4	20.06	20.06	20.4	25.16	29.24	32.3	32.64	32.64	32.3	32.3	32.3	31.62	31.96	33.66	34	34	32.64	30.94	28.22	24.82	21.42
13.4	12.6	12	11.8	11.8	12	14.8	17.2	19	19.2	19.2	19	19	19	18.6	18.8	19.8	20	20	19.2	18.2	16.6	14.6	12.6
58.29	54.81	52.2	51.33	51.33	52.2	64.38	74.82	82.65	83.52	83.52	82.65	82.65	82.65	80.91	81.78	86.13	87	87	83.52	79.17	72.21	63.51	54.81
11.39	10.71	10.2	10.03	10.03	10.2	12.58	14.62	16.15	16.32	16.32	16.15	16.15	16.15	15.81	15.98	16.83	17	17	16.32	15.47	14.11	12.41	10.71
11.39	10.71	10.2	10.03	10.03	10.2	12.58	14.62	16.15	16.32	16.32	16.15	16.15	16.15	15.81	15.98	16.83	17	17	16.32	15.47	14.11	12.41	10.71
12.06	11.34	10.8	10.62	10.62	10.8	13.32	15.48	17.1	17.28	17.28	17.1	17.1	17.1	16.74	16.92	17.82	18	18	17.28	16.38	14.94	13.14	11.34
15.41	14.49	13.8	13.57	13.57	13.8	17.02	19.78	21.85	22.08	22.08	21.85	21.85	21.85	21.39	21.62	22.77	23	23	22.08	20.93	19.09	16.79	14.49
75.71	71.19	67.8	66.67	66.67	67.8	83.62	97.18	107.35	108.48	108.48	107.35	107.35	107.35	105.09	106.22	111.87	113	113	108.48	102.83	93.79	82.49	71.19
42.21	39.69	37.8	37.17	37.17	37.8	46.62	54.18	59.85	60.48	60.48	59.85	59.85	59.85	58.59	59.22	62.37	63	63	60.48	57.33	52.29	45.99	39.69
56.28	52.92	50.4	49.56	49.56	50.4	62.16	72.24	79.8	80.64	80.64	79.8	79.8	79.8	78.12	78.96	83.16	84	84	80.64	76.44	69.72	61.32	52.92
8.04	7.56	7.2	7.08	7.08	7.2	8.88	10.32	11.4	11.52	11.52	11.4	11.4	11.4	11.16	11.28	11.88	12	12	11.52	10.92	9.96	8.76	7.56
