16	1	-8554.319932	240	300
355	1	-1512.401694	240	300
17	2	-8554.319932	240	300
354	2	-1512.401694	240	300
10	3	-1266.624446	411	513.75
219	3	-1484.56057	240	300
220	3	-1484.56057	240	300
7	4	-1029.760066	565.5	706.875
11	4	-6253.908693	502.5	628.125
14	4	-3102.699348	696	870
16	4	-1500.375094	565.5	706.875
22	4	-2325.581395	525	656.25
245	4	-1449.065353	240	300
246	4	-1449.065353	240	300
5	6	-3278.688525	600	750
7	5	-2507.522568	571.5	714.375
10	5	-891.3450397	571.5	714.375
309	5	-1457.725948	240	300
309	5	-1457.725948	240	300
6	8	-7524.454477	1316	1645
6	9	-2721.088435	1427	1783.75
15	6	-2926.543752	1427	1783.75
31	6	-6640.106242	1385	1731.25
310	6	-1616.031028	375	468.75
12	7	-1143.902997	571.5	714.375
13	7	-7541.47813	502.5	628.125
19	7	-2457.002457	484.5	605.625
21	7	-15360.9831	240	300
29	7	-1333.688984	543	678.75
321	7	-2969.12114	375	468.75
322	7	-1476.01476	240	300
8	18	-2514.458134	1316	1645
332	9	-1906.941266	495	618.75
171	10	-960.338039	696	870
346	10	-1462.202076	240	300
347	10	-1462.202076	240	300
16	11	-2530.364372	696	870
17	11	-2530.364372	696	870
111	11	-1613.94448	591	738.75
352	11	-1449.065353	240	300
353	11	-1449.065353	240	300
140	12	-944.3762395	696	870
359	12	-1512.401694	240	300
360	12	-1512.401694	240	300
29	13	-1232.437762	508.5	635.625
365	13	-1449.065353	240	300
366	13	-1449.065353	240	300
17	14	-3505.082369	696	870
367	14	-1471.020888	240	300
368	14	-1449.065353	240	300
18	15	-2346.316283	1662	2077.5
15	165	-4042.037187	1246.5	1558.125
374	15	-1616.031028	375	468.75
16	18	-3969.829297	750	937.5
16	73	-1602.564103	696	870
17	18	-3969.829297	750	937.5
17	74	-1561.28025	696	870
20	18	-13351.13485	1427	1783.75
75	18	-4221.190376	1434	1792.5
18	76	-6153.846154	1662	2077.5
18	101	-3611.412062	1662	2077.5
124	19	-808.6689309	696	870
425	19	-1466.705779	240	300
67	20	-2919.708029	1246.5	1558.125
447	20	-1634.253963	375	468.75
448	20	-1634.253963	375	468.75
502	21	-1407.063459	240	300
112	22	-3819.709702	543	678.75
526	22	-1449.065353	240	300
527	22	-1449.065353	240	300
37	23	-1422.272792	591	738.75
46	23	-2054.231717	685.5	856.875
53	23	-1524.855139	411	513.75
540	23	-1497.005988	240	300
54	24	-1746.114894	240	300
545	24	-1489.203276	240	300
41	25	-2412.545235	411	513.75
53	25	-2969.12114	696	870
54	25	-71428.57143	696	870
564	25	-1280.737705	240	300
38	26	-1924.557352	240	300
568	26	-1511.487304	240	300
28	27	-1000000	1314	1642.5
33	27	-6693.440428	240	300
48	27	-1609.010459	543	678.75
27	74	-1382.934587	456	570
47	28	-5561.735261	696	870
28	88	-1225.340032	543	678.75
30	29	-1000000	1314	1642.5
29	32	-4768.717215	750	937.5
45	29	-2486.943546	696	870
48	29	-2334.812048	696	870
613	29	-1476.01476	240	300
46	30	-2486.943546	696	870
49	30	-2202.158115	543	678.75
32	31	-1000000	1593	1991.25
39	31	-4664.179104	1385	1731.25
36	32	-5291.005291	747	933.75
615	33	-1439.677512	240	300
35	34	-1000000	1593	1991.25
34	51	-7112.375533	1385	1731.25
183	34	-4372.540446	1385	1731.25
183	35	-4372.540446	1385	1731.25
617	35	-1652.346332	375	468.75
644	36	-1652.346332	375	468.75
645	36	-1624.431449	375	468.75
38	37	-1000000	1314	1642.5
663	37	-1511.487304	240	300
55	38	-4816.955684	591	738.75
40	39	-1000000	1593	1991.25
682	39	-1671.122995	375	468.75
44	40	-7830.853563	1385	1731.25
679	40	-1603.849238	375	468.75
42	41	-1000000	1314	1642.5
41	43	-3333.333333	600	750
80	41	-2283.105023	913.5	1141.875
47	42	-1523.461304	411	513.75
54	42	-3783.579266	588	735
689	42	-1462.202076	240	300
44	43	-1000000	1593	1991.25
99	43	-5015.045135	1246.5	1558.125
50	44	-9115.770283	1662	2077.5
46	45	-1000000	1314	1642.5
49	45	-1640.150894	591	738.75
706	47	-1476.01476	240	300
707	47	-1476.01476	240	300
49	48	-1000000	1314	1642.5
717	48	-1474.27392	240	300
716	49	-1463.914507	240	300
51	50	-1000000	1593	1991.25
98	50	-5592.841163	1246.5	1558.125
100	50	-1803.751804	1246.5	1558.125
726	50	-1644.736842	375	468.75
727	51	-1603.849238	375	468.75
53	52	-11389.52164	240	300
754	52	-1480.604086	240	300
181	55	-1197.174668	591	738.75
778	55	-1478.852411	240	300
74	56	-7806.401249	591	738.75
796	56	-1475.579165	240	300
81	57	-20161.29032	205.5	256.875
80	58	-20161.29032	205.5	256.875
63	59	-7117.437722	543	678.75
82	59	-1419.446416	543	678.75
821	59	-1471.020888	240	300
60	85	-1686.340641	543	678.75
104	60	-2444.390125	696	870
834	60	-1444.877908	240	300
836	60	-794.723039	150	187.5
62	61	-1000000	1314	1642.5
64	61	-2602.13375	696	870
109	61	-16129.03226	696	870
184	61	-1415.227852	411	513.75
82	62	-9132.420091	696	870
110	62	-16129.03226	696	870
71	63	-3247.80773	543	678.75
91	63	-3611.412062	591	738.75
94	63	-7936.507937	696	870
96	63	-2360.717658	543	678.75
64	69	-3361.344538	696	870
79	64	-4101.722724	543	678.75
93	64	-7936.507937	696	870
95	64	-2360.717658	543	678.75
90	65	-2420.135528	591	738.75
