0	15.8	20	0	1	163.02	75.85	1138.68	1	1	20	20	20	20
0	15.8	20	0	1	163.02	75.85	1138.68	1	1	20	20	20	20
0	15.2	76	0	0	19.64	1060.88	130.63	8	4	76	76	76	20
0	15.2	76	0	0	19.64	1060.88	130.63	8	4	76	76	76	20
1	15.8	20	0	1	163.02	75.85	1138.68	1	1	20	20	20	20
1	15.8	20	0	1	163.02	75.85	1138.68	1	1	20	20	20	20
1	15.2	76	0	0	19.64	1060.88	130.63	8	4	76	76	76	20
1	15.2	76	0	0	19.64	1060.88	130.63	8	4	76	76	76	20
6	25	100	0	0	75.64	4754.4	839.45	8	8	100	100	100	70
6	25	100	0	0	75.64	4754.4	839.45	8	8	100	100	100	70
6	25	100	0	0	75.64	4754.4	839.45	8	8	100	100	100	70
12	68.95	197	0	0	74.75	6510	1159.93	12	10	180	197	197	30
12	68.95	197	0	0	74.75	6510	1159.93	12	10	180	197	197	30
12	68.95	197	0	0	74.75	6510	1159.93	12	10	180	197	197	30
13	0	0	1	0	0	0	0	1	1	0	0	0	0
14	2.4	12	0	0	94.74	571.2	72.68	4	2	12	12	12	10
14	2.4	12	0	0	94.74	571.2	72.68	4	2	12	12	12	10
14	2.4	12	0	0	94.74	571.2	72.68	4	2	12	12	12	10
14	2.4	12	0	0	94.74	571.2	72.68	4	2	12	12	12	10
14	2.4	12	0	0	94.74	571.2	72.68	4	2	12	12	12	10
14	54.25	155	0	0	15.46	1696.34	252.67	8	8	155	155	155	30
15	54.25	155	0	0	15.46	1696.34	252.67	8	8	155	155	155	30
17	100	400	0	0	5.46	2400	215.08	24	24	400	400	400	200
20	100	400	0	0	5.46	2400	215.08	24	24	400	400	400	200
21	0	50	1	0	0	0	0	1	1	50	50	50	50
21	0	50	1	0	0	0	0	1	1	50	50	50	50
21	0	50	1	0	0	0	0	1	1	50	50	50	50
21	0	50	1	0	0	0	0	1	1	50	50	50	50
21	0	50	1	0	0	0	0	1	1	50	50	50	50
21	0	50	1	0	0	0	0	1	1	50	50	50	50
22	54.25	155	0	0	15.46	1696.34	252.67	8	8	155	155	155	30
22	54.25	155	0	0	15.46	1696.34	252.67	8	8	155	155	155	30
22	140	350	0	0	15.89	7953.04	358.23	24	24	240	350	350	40
24	15.8	20	0	1	163.02	75.85	1138.68	1	1	20	20	20	20
24	15.8	20	0	1	163.02	75.85	1138.68	1	1	20	20	20	20
24	15.2	76	0	0	19.64	1060.88	130.63	8	4	76	76	76	20
24	15.2	76	0	0	19.64	1060.88	130.63	8	4	76	76	76	20
25	15.8	20	0	1	163.02	75.85	1138.68	1	1	20	20	20	20
25	15.8	20	0	1	163.02	75.85	1138.68	1	1	20	20	20	20
25	15.2	76	0	0	19.64	1060.88	130.63	8	4	76	76	76	20
25	15.2	76	0	0	19.64	1060.88	130.63	8	4	76	76	76	20
